股票代码,公司简称,cos,Indcd,文字数量
603016,新宏泰,0.23666807996047606,C38,11891
000606,顺利办,0.2366258593875171,C26,17356
600131,国网信通,0.23660665777666867,D44,13929
300210,森远股份,0.23657528335401418,C35,16725
002857,三晖电气,0.23653997498295792,C40,15493
000800,一汽解放,0.23641376355106603,C36,16424
300977,深圳瑞捷,0.23637743574372824,M74,14254
002194,武汉凡谷,0.23636360763730263,C39,21991
300836,佰奥智能,0.2362529380676967,C35,7740
002160,常铝股份,0.2360197310804089,C32,13262
002341,新纶科技,0.23587806173429313,C26,23838
002529,ST海源,0.2358132049511376,C35,19043
688109,品茗股份,0.2357948575857433,I65,11914
002647,仁东控股,0.23574765443655094,C38,12769
300286,安科瑞,0.23572876663293504,C40,13530
300222,科大智能,0.23562338270032335,C38,29682
000969,安泰科技,0.23551279080382972,C41,23257
300588,熙菱信息,0.2354460236783537,I65,17196
688099,晶晨股份,0.23478572388655938,I65,20925
300093,金刚玻璃,0.2346687972604106,C30,11699
002829,星网宇达,0.2346132800605433,C39,24027
688022,瀚川智能,0.2345878529775293,C35,31800
601990,南京证券,0.23455650454499982,J67,21051
300193,佳士科技,0.23432803482277395,C38,12994
002179,中航光电,0.2342894089989627,C39,16944
002445,ST中南,0.23425776714232321,C35,15669
688600,皖仪科技,0.23414573758465823,C40,13263
688555,泽达易盛,0.23409604999150713,I65,12934
002952,亚世光电,0.23395897457457132,C39,13759
300603,立昂技术,0.23394030898733936,I65,29541
600888,新疆众和,0.23387170426659948,C32,14339
300913,兆龙互连,0.2338450364428264,C38,16671
002782,可立克,0.23368771484462567,C39,12873
002625,光启技术,0.23338005660300526,C36,22802
300495,美尚生态,0.2332425436453315,E48,18811
300405,科隆股份,0.23322628101900963,C26,16695
688386,泛亚微透,0.23308354196954473,C29,14688
300709,精研科技,0.23300478611972414,C39,15349
002989,中天精装,0.23299173934620027,E50,17517
002673,西部证券,0.2326377667756918,J67,27338
300872,天阳科技,0.23251553367435507,I65,23074
600433,冠豪高新,0.23251296287290574,C22,15360
000779,甘咨询,0.23249529158561913,C17,18828
002149,西部材料,0.23237120405805473,C32,20006
300433,蓝思科技,0.23234492033208015,C39,18607
002101,广东鸿图,0.23229375940840577,C34,18372
300912,凯龙高科,0.2322890824431408,N77,13963
000669,ST金鸿,0.2322351718419693,C39,23430
688096,京源环保,0.23218157596203443,C35,15104
300892,品渥食品,0.23216955692036473,F52,21562
002550,千红制药,0.2321659233654884,C27,13547
300602,飞荣达,0.23193487733915605,C39,20784
002031,巨轮智能,0.2318964632188599,C35,18320
000622,恒立实业,0.23187004196941965,C35,20160
300778,新城市,0.23184089084579593,M74,21840
002825,纳尔股份,0.23183985647647282,C29,18576
300570,太辰光,0.2318343500714416,C39,15346
603327,福蓉科技,0.23183175249548507,C39,13985
002279,久其软件,0.231797176903559,I65,26230
000676,智度股份,0.23167067264430227,C40,21113
300667,必创科技,0.23162171694710648,C40,22679
002585,双星新材,0.23159985952343448,C29,31336
300275,梅安森,0.2315771128922838,I64,20445
300911,亿田智能,0.23152461036406638,C38,13181
688618,三旺通信,0.23148509357657795,C39,16735
000915,山大华特,0.23125217687069177,S90,17056
002035,华帝股份,0.23113422277981782,C33,18400
000546,金圆股份,0.2311313004263645,K70,20565
002017,东信和平,0.23105039769675378,C41,16358
600918,中泰证券,0.23103867140724682,J67,30891
688183,生益电子,0.23103514997869729,C39,11276
002556,辉隆股份,0.23098318407237167,F52,34221
002766,ST索菱,0.23078037599149068,C39,12923
300713,英可瑞,0.2307715630741393,C38,25815
600552,凯盛科技,0.2306445300527491,C30,12894
002193,如意集团,0.23049654275885703,C17,15147
300247,融捷健康,0.23037921234290143,C38,21078
200771,杭汽轮B,0.23037842450343185,C34,16927
002056,横店东磁,0.23033991635645326,C39,23108
600120,浙江东方,0.2302609219529044,F52,18157
300038,ST数知,0.2300587013560802,C39,21935
300541,先进数通,0.2298691248501494,I65,17368
603516,淳中科技,0.22983082278527228,C39,5369
300636,同和药业,0.2297715108706474,C27,20766
002877,智能自控,0.22963479617246618,C40,14946
300468,四方精创,0.2295388550839214,I65,12662
300512,中亚股份,0.22947629069994968,C34,22691
002742,三圣股份,0.2293022547134974,C30,17095
002736,国信证券,0.22919380928014207,J67,40518
002544,杰赛科技,0.22916120395270426,I63,19711
002779,中坚科技,0.22911111970026873,C35,11319
002060,粤水电,0.2290529442573798,E48,27923
688596,正帆科技,0.22903631974015462,C34,16578
002995,天地在线,0.2289367249994927,I64,16542
002273,水晶光电,0.22887855915969751,C39,26160
002591,恒大高新,0.22887029617373142,C33,14326
000815,美利云,0.2288616287615084,C22,20692
300295,三六五网,0.22876975527964072,I64,11987
000630,铜陵有色,0.22875900042569008,C32,21649
002022,科华生物,0.22867627113591132,C27,21994
002137,麦达数字,0.2286116742714599,C39,11641
688080,映翰通,0.22855625908978824,C39,20757
300878,维康药业,0.22847943744753185,C27,17258
688200,华峰测控,0.2284430666939236,C35,13998
000788,北大医药,0.22839796285970376,C27,17260
003004,声迅股份,0.22838266539038812,I65,17102
000960,锡业股份,0.22828003948862272,C32,26015
002938,鹏鼎控股,0.22825956309960962,C39,24775
002900,哈三联,0.22807592845902108,C27,22000
603918,金桥信息,0.22805106998801514,I65,20406
601555,东吴证券,0.22799684014220645,J67,23293
600030,中信证券,0.22785861205300773,J67,40749
002946,新乳业,0.22759128897267758,C14,32751
003029,吉大正元,0.22756795789023257,I65,18780
300969,恒帅股份,0.22754590053344637,C36,13145
000733,振华科技,0.2273641672794194,C39,19388
000955,欣龙控股,0.22725833848462684,C41,20588
300070,碧水源,0.22725669170296367,M74,23407
300392,腾信股份,0.2271678187163603,I64,16795
688299,长阳科技,0.22712253190362808,C29,7421
603633,徕木股份,0.22705856209073003,C39,21536
300698,万马科技,0.22702694442556465,C39,22667
300978,东箭科技,0.2269489929881811,C36,15148
600728,佳都科技,0.22687443607232574,I65,19554
002263,大东南,0.22684798518778823,C29,14917
688379,华光新材,0.22667469225814302,C33,13410
300564,筑博设计,0.22663350445525815,M74,15769
000598,兴蓉环境,0.22649007893307121,C26,17353
600353,旭光电子,0.22645608879698612,C39,10341
603927,中科软,0.22641525974797974,I65,23402
000544,中原环保,0.2261504993846855,C30,25952
002281,光迅科技,0.22614035962971946,C39,16412
300690,双一科技,0.2260793278675828,C30,16416
002781,奇信股份,0.2259704437321271,E50,24373
601126,四方股份,0.22596030974329703,C38,17196
300682,朗新科技,0.22593025173948234,I65,24760
300172,中电环保,0.225916907423795,O81,23609
003022,联泓新科,0.2258768109490917,C26,25448
300968,格林精密,0.22584225493783996,C39,9315
300799,左江科技,0.2256955316155684,I65,21806
000739,普洛药业,0.22569227591267835,C27,14021
002177,御银股份,0.22558708188735377,C35,26213
688683,莱尔科技,0.22557760626692408,C39,16358
688001,华兴源创,0.225565028607611,C35,19861
603380,易德龙,0.2254447006168134,C39,20927
002296,辉煌科技,0.22531125506169924,I65,21906
688310,迈得医疗,0.2252940241534339,C35,16395
300843,胜蓝股份,0.22523750534240447,C39,18254
300735,光弘科技,0.22519926947290886,C39,17066
688020,方邦股份,0.22518000301527583,C39,9477
300492,华图山鼎,0.22513653527192712,M74,14436
000903,云内动力,0.22509764605437835,C34,23087
003040,楚天龙,0.2250910748883343,C39,12438
300895,铜牛信息,0.2250312911827385,I65,21341
002224,三力士,0.2250260184114945,C29,21279
002062,宏润建设,0.224965827367094,E47,17432
300476,胜宏科技,0.22494391684143844,C39,6040
603019,中科曙光,0.22493775546633446,C39,14939
300500,启迪设计,0.22485173391460542,M74,18482
300523,辰安科技,0.22453969487083486,I65,14573
002735,王子新材,0.22441205591418373,C29,25930
300975,商络电子,0.22430245781292477,F51,20233
300508,维宏股份,0.22415689447188208,I65,21945
002600,领益智造,0.2241094097648795,C39,23914
601236,红塔证券,0.22407027405959654,J67,20457
002138,顺络电子,0.2240311104615374,C39,24278
002112,三变科技,0.22402194991611613,C38,9930
002014,永新股份,0.22399207969676468,C29,12044
603106,恒银科技,0.22399000458839988,C39,18101
601609,金田铜业,0.2239869647890217,C32,13322
002927,泰永长征,0.22366759467510797,C38,18195
002595,豪迈科技,0.22363700931876188,C33,17177
000636,风华高科,0.22348125021627702,C39,10967
002198,嘉应制药,0.22345971311473045,C27,11701
300100,双林股份,0.22334052307286253,C36,14254
002882,金龙羽,0.22315818502089257,C38,19111
300693,盛弘股份,0.22310216877236225,C38,20727
300486,东杰智能,0.2230064987143454,C35,25508
002317,众生药业,0.22300332401508347,C27,32666
002057,中钢天源,0.2229484924010466,C26,22748
002907,华森制药,0.22293417991680944,C27,29424
300605,恒锋信息,0.2228788852709895,I65,22438
300949,奥雅设计,0.22285684644047637,M74,15232
603698,航天工程,0.22282136747732842,M74,19795
002055,得润电子,0.22281601912920587,C39,24929
000958,东方能源,0.2227878864067384,D44,23127
600312,平高电气,0.2227755488871588,C35,19404
002947,恒铭达,0.22267635015660234,C39,14981
002885,京泉华,0.22263357453807353,C39,11928
688218,江苏北人,0.22262981679645333,C35,24310
002769,普路通,0.22255344176086778,L72,6292
300600,国瑞科技,0.22250076074963876,C37,13712
002976,瑞玛工业,0.22249966717742536,C33,15944
601878,浙商证券,0.22248546543457026,J67,31989
002140,东华科技,0.2224505159772768,M74,43887
000701,厦门信达,0.2224188802706749,F52,29690
300631,久吾高科,0.22236010316042112,C35,13169
300140,中环装备,0.22229011073284385,C38,31239
300899,上海凯鑫,0.22224538584034587,N77,17974
688777,中控技术,0.2221269334894218,I65,26948
002564,天沃科技,0.22211934743322437,C35,22241
300731,科创新源,0.22211728697857075,C29,30212
002871,伟隆股份,0.22211231803581238,C34,13235
000806,ST银河,0.2220837301225293,C38,21252
601198,东兴证券,0.2220699452893446,J67,33756
002376,新北洋,0.22202798437687923,C39,34241
605060,联德股份,0.2219928718199341,C34,14332
002004,华邦健康,0.22195376271441855,C27,25868
300397,天和防务,0.22193849265245197,C39,36199
688418,震有科技,0.22185026669512173,C39,16343
601068,中铝国际,0.22179393211339746,E48,23802
300852,四会富仕,0.22176225897186985,C39,17761
600689,上海三毛,0.22174971488356487,C18,10492
601696,中银证券,0.22172549841424333,J67,23033
002388,新亚制程,0.22167628969170466,C39,14180
688588,凌志软件,0.22161866715412784,I65,13660
300884,狄耐克,0.22159057462635576,C39,23685
600369,西南证券,0.22158047714227624,G55,26996
200468,宁通信B,0.2215432097904341,C39,17700
603666,亿嘉和,0.2215215393511042,C35,16973
600635,大众公用,0.2214936919355142,S90,21035
002323,ST雅博,0.22141257772748218,C35,10448
002799,环球印务,0.22135102565906528,C22,24505
002547,春兴精工,0.221301546430356,C33,16020
603316,诚邦股份,0.22121066073291443,E48,17540
603903,中持股份,0.22113674121266264,N77,22683
300368,汇金股份,0.22108476272477487,C35,27188
300097,智云股份,0.2210542083340611,C35,26286
600582,天地科技,0.2210461298582292,C35,21335
002723,金莱特,0.2209917883015878,C38,17379
002073,软控股份,0.2209388806882121,C35,21708
300687,赛意信息,0.22088543747929876,I65,24443
002020,京新药业,0.22085846487108393,C27,21078
002472,双环传动,0.2208567918442522,C34,17131
002748,世龙实业,0.22085200415041498,C26,19237
002664,长鹰信质,0.22083525314036875,C36,16331
002577,雷柏科技,0.22081051015708356,C39,12839
300076,GQY视讯,0.22078838079226343,C39,20804
688586,江航装备,0.22077966556885142,C37,14226
300802,矩子科技,0.22068656463920913,C39,10969
002860,星帅尔,0.22066882404738714,C38,23974
002003,伟星股份,0.2205668499132745,C41,18173
002369,卓翼科技,0.2204289427320546,C39,30203
002538,司尔特,0.22031609724357618,C26,16072
000856,冀东装备,0.22030023815322713,C30,13687
600850,华东电脑,0.22023353048111705,C39,17868
002888,惠威科技,0.22011514988695932,C39,9776
002575,ST群兴,0.21999298427531452,C24,16432
002559,亚威股份,0.2199460219744669,C34,15304
300848,美瑞新材,0.21990624704536033,C26,16721
600218,全柴动力,0.2198221436028928,C34,12810
300826,测绘股份,0.21976718528855915,M74,17454
300472,新元科技,0.2197610797160361,C35,17641
300450,先导智能,0.21972402572766725,C35,19706
003025,思进智能,0.2197021388645783,C34,14241
300666,江丰电子,0.21963706817070122,C39,25786
688060,云涌科技,0.2195010196714742,I65,17025
002431,棕榈股份,0.21944326365030484,E50,23632
000032,深桑达A,0.21943567190496194,C39,20922
300013,新宁物流,0.21942636623088393,G59,9050
300481,濮阳惠成,0.21941187952587993,C26,22433
300807,天迈科技,0.21937534872321063,C39,18071
300768,迪普科技,0.21932607821859096,I65,28172
688309,恒誉环保,0.21925469633614975,C35,15448
300240,飞力达,0.21925037118679255,G59,41918
300200,高盟新材,0.21915657790879461,C26,23446
002231,奥维通信,0.21911302546886832,C39,13948
002367,康力电梯,0.21905746676681276,C37,22846
688536,思瑞浦,0.21905131376869993,I65,22072
300061,旗天科技,0.21897718784993137,C41,22455
300126,锐奇股份,0.21890473486747916,C38,12760
002241,歌尔股份,0.21888270821435246,C39,23051
000543,皖能电力,0.21886230912694027,D44,16970
002444,巨星科技,0.2188050367322803,C33,25395
300474,景嘉微,0.2188045418090062,C39,23946
002132,恒星科技,0.2185741151238927,C33,20470
002629,ST仁智,0.2185022503698697,B11,15801
000766,通化金马,0.21834667741539987,C27,20593
688003,天准科技,0.21830880676068412,C35,21468
688330,宏力达,0.21830750581123962,C38,15202
603060,国检集团,0.21820544516339963,M74,21137
003003,天元股份,0.21808134075980207,C23,18283
002338,奥普光电,0.2180227303049721,C40,10843
300527,中船应急,0.21800731438882373,C35,24201
600133,东湖高新,0.2180059339149268,S90,28392
300674,宇信科技,0.2179300630998867,I65,38849
002943,宇晶股份,0.2179172056875036,C34,18311
002810,山东赫达,0.21789301328807673,C26,16047
600446,金证股份,0.217840290638583,I65,23062
300366,创意信息,0.2178378493864459,I65,33695
603138,海量数据,0.21767464338525205,I65,11443
603738,泰晶科技,0.21763061371165737,C41,17474
603519,立霸股份,0.21732953555026857,C38,13152
601108,财通证券,0.21729810506193517,J67,29820
002993,奥海科技,0.21728942203763774,C39,26031
300779,惠城环保,0.21725553697313885,C42,27739
002797,第一创业,0.21723074849958213,J67,39043
002741,光华科技,0.21715968206778122,C26,20338
002339,积成电子,0.21709080570345637,I65,9575
002685,华东重机,0.2169785693262101,C34,21400
600112,ST天成,0.21696578452428655,C38,18182
600761,安徽合力,0.21695584304863338,C35,11574
600860,ST京城,0.21695266450230238,C35,10935
600172,黄河旋风,0.2169505367571477,C30,9411
002289,ST宇顺,0.21690306093491307,C39,12055
002705,新宝股份,0.2168989200530251,C38,36588
688079,美迪凯,0.21689191850590508,C39,15391
000920,南方汇通,0.2168906818149102,C37,17357
002435,长江健康,0.21687589936652846,C35,18519
000951,中国重汽,0.216857788660288,C36,13348
600476,湘邮科技,0.21679293538325425,I65,12756
300820,英杰电气,0.21671462404315356,C38,19392
300465,高伟达,0.21671244773811998,I65,20609
000409,ST地矿,0.216700343600357,C35,21651
600192,长城电工,0.21666004466069155,C38,13275
300006,莱美药业,0.21658164945231978,C27,22258
300597,吉大通信,0.21643650275900383,I65,30912
601399,ST国重装,0.21635888261302785,E48,19714
300487,蓝晓科技,0.21622194523827773,C26,32263
002677,浙江美大,0.21618924460105468,C38,16996
300615,欣天科技,0.21618192293426156,C39,19630
002865,钧达股份,0.21607873112306755,C36,17600
002771,真视通,0.21601483656266435,I65,16172
002941,新疆交建,0.21569377051716368,E48,23603
300258,精锻科技,0.2156478215233198,C36,21112
002499,ST科林,0.2156135216977179,C35,9263
002915,中欣氟材,0.21557803591032607,C26,32285
300367,ST网力,0.21557105731422632,C39,26618
002104,恒宝股份,0.2155524894231042,C41,20549
000609,中迪投资,0.21553587394234894,C26,19801
601798,蓝科高新,0.21549636542849365,C35,7393
002156,通富微电,0.2153946447805891,C39,27072
000686,东北证券,0.2153337063804201,J67,27351
300128,锦富技术,0.21531592671650093,C39,31383
300609,汇纳科技,0.21530754354838033,I65,24165
300594,朗进科技,0.21525191991628684,C37,11427
300111,向日葵,0.21523870554343494,C39,14781
605366,宏柏新材,0.21513104921515952,C26,18453
002632,道明光学,0.21507539371475212,C26,29249
300645,正元智慧,0.21506722856845023,I65,22226
000151,中成股份,0.21501891350263055,O81,13757
002361,神剑股份,0.21501077015272863,C26,18712
000859,国风塑业,0.2150078727953422,C29,16077
603112,华翔股份,0.21494688400776302,C33,13963
300363,博腾股份,0.21494068297969268,C27,16032
002620,瑞和股份,0.2147682200452239,E50,21332
300917,特发服务,0.21476549681863358,K70,16086
300629,新劲刚,0.2147520792693723,C33,11347
